bin,stage,short,bottom,mid,top,dur,climate_state
1,Fortunian,For,538.8,533.9,529,9.8,
2,Stage 2,St2,529,525,521,8,
3,Stage 3,St3,521,517.75,514.5,6.5,
4,Stage 4,St4,514.5,510.5,506.5,8,
5,Wulian,Wul,506.5,505.5,504.5,2,
6,Drumian,Dru,504.5,502.5,500.5,4,
7,Guzhangian,Guz,500.5,498.75,497,3.5,
8,Paibian,Pai,497,495.6,494.2,2.8,
9,Jiangshanian,Jia,494.2,492.6,491,3.2,
10,Stages 10,St10,491,488.925,486.85,4.15,
11,Tremadocian,Tre,486.85,481.975,477.1,9.75,Hothouse
12,Floian,Flo,477.1,474.2,471.3,5.8,Hothouse
13,Dapingian,Dap,471.3,470.35,469.4,1.9,Hothouse
14,Darriwilian,Dar,469.4,463.8,458.2,11.2,Hothouse
15,Sandbian,Sbd,458.2,455.5,452.8,5.4,Warmhouse
16,Katian,Kat,452.8,449,445.2,7.6,Warmhouse
17,Hirnantian,Hir,445.2,444.15,443.1,2.1,Coolhouse
18,Rhuddanian,Rhu,443.1,441.8,440.5,2.6,Coolhouse
19,Aeronian,Aer,440.5,439.55,438.6,1.9,Coolhouse
20,Telychian,Tel,438.6,435.75,432.9,5.7,Transitional
21,Sheinwoodian,She,432.9,431.75,430.6,2.3,Coolhouse
22,Homerian,Hom,430.6,428.65,426.7,3.9,Coolhouse
23,Gorstian,Gor,426.7,425.85,425,1.7,Warmhouse
24,Ludfordian,Lud,425,423.85,422.7,2.3,Hothouse
25,Pridoli,Pri,422.7,421.16,419.62,3.08,Hothouse
26,Lochkovian,Loc,419.62,416.32,413.02,6.6,Hothouse
27,Pragian,Pra,413.02,411.82,410.62,2.4,Hothouse
28,Emsian,Ems,410.62,402.045,393.47,17.15,Transitional
29,Eifelian,Eif,393.47,390.71,387.95,5.52,Transitional
30,Givetian,Giv,387.95,385.13,382.31,5.64,Warmhouse
31,Frasnian,Fra,382.31,377.23,372.15,10.16,Warmhouse
32,Famennian,Fam,372.15,365.505,358.86,13.29,Transitional
33,Tournaisian,Tou,358.86,352.78,346.7,12.16,Coolhouse
34,Visean,Vis,346.7,338.5,330.3,16.4,Coldhouse
35,Serpukhovian,Ser,330.3,326.85,323.4,6.9,Coldhouse
36,Bashkirian,Bas,323.4,319.3,315.2,8.2,Coldhouse
37,Moscovian,Mos,315.2,311.1,307,8.2,Coldhouse
38,Kasimovian,Kas,307,305.35,303.7,3.3,Coldhouse
39,Gzhelian,Gzh,303.7,301.3,298.9,4.8,Coldhouse
40,Asselian,Ass,298.9,296.21,293.52,5.38,Coolhouse
41,Sakmarian,Sak,293.52,291.81,290.1,3.42,Coolhouse
42,Artinskian,Art,290.1,286.7,283.3,6.8,Coolhouse
43,Kungurian,Kun,283.3,278.85,274.4,8.9,Coolhouse
44,Roadian,Roa,274.4,270.65,266.9,7.5,Coldhouse
45,Wordian,Wor,266.9,265.59,264.28,2.62,Coolhouse
46,Capitanian,Cap,264.28,261.895,259.51,4.77,Coolhouse
47,Wuchiapingian,Wuc,259.51,256.825,254.14,5.37,Coolhouse
48,Changhsingian,Chg,254.14,253.021,251.902,2.238,Coldhouse
49,Induan,Ind,251.902,250.901,249.9,2.002,Hothouse
50,Olenekian,Ole,249.9,248.3,246.7,3.2,Warmhouse
51,Anisian,Ani,246.7,244.082,241.464,5.236,Warmhouse
52,Ladinian,Lad,241.464,239.232,237,4.464,Coolhouse
53,Carnian,Car,237,232.15,227.3,9.7,Transitional
54,Norian,Nor,227.3,216.5,205.7,21.6,Transitional
55,Rhaetian,Rha,205.7,203.55,201.4,4.3,Coolhouse
56,Hettangian,Het,201.4,200.45,199.5,1.9,Transitional
57,Sinemurian,Sin,199.5,196.2,192.9,6.6,Transitional
58,Pliensbachian,Plb,192.9,188.55,184.2,8.7,Transitional
59,Toarcian,Toa,184.2,179.45,174.7,9.5,Warmhouse
60,Aalenian,Aal,174.7,172.8,170.9,3.8,Transitional
61,Bajocian,Baj,170.9,169.55,168.2,2.7,Coolhouse
62,Bathonian,Bat,168.2,166.75,165.3,2.9,Coldhouse
63,Callovian,Cal,165.3,163.4,161.5,3.8,Coolhouse
64,Oxfordian,Oxf,161.5,158.15,154.8,6.7,Transitional
65,Kimmeridgian,Kim,154.8,152,149.2,5.6,Transitional
66,Tithonian,Tit,149.2,146.15,143.1,6.1,Warmhouse
67,Berriasian,Ber,143.1,140.075,137.05,6.05,Warmhouse
68,Valanginian,Val,137.05,134.825,132.6,4.45,Warmhouse
69,Hauterivian,Hau,132.6,129.185,125.77,6.83,Warmhouse
70,Barremian,Bar,125.77,123.585,121.4,4.37,Hothouse
71,Aptian,Apt,121.4,117.3,113.2,8.2,Hothouse
72,Albian,Alb,113.2,106.85,100.5,12.7,Warmhouse
73,Cenomanian,Cen,100.5,97.2,93.9,6.6,Hothouse
74,Turonian,Tur,93.9,91.85,89.8,4.1,Hothouse
75,Coniacian,Con,89.8,87.75,85.7,4.1,Hothouse
76,Santonian,San,85.7,84.65,83.6,2.1,Hothouse
77,Campanian,Cam,83.6,77.9,72.2,11.4,Warmhouse
78,Maastrichtian,Maa,72.2,69.1,66,6.2,Transitional
79,Danian,Dan,66,63.83,61.66,4.34,Hothouse
80,Selandian,Se,61.66,60.45,59.24,2.42,Hothouse
81,Thanetian,Th,59.24,57.62,56,3.24,Warmhouse
82,Ypresian,Ypr,56,52.035,48.07,7.93,Hothouse
83,Lutetian,Lut,48.07,44.55,41.03,7.04,Warmhouse
84,Bartonian,Brt,41.03,39.37,37.71,3.32,Warmhouse
85,Priabonian,Prb,37.71,35.805,33.9,3.81,Warmhouse
86,Rupelian,Rup,33.9,30.6,27.3,6.6,Transitional
87,Chattian,Cht,27.3,25.17,23.04,4.26,Transitional
88,Aquitanian,Aqu,23.04,21.745,20.45,2.59,Coolhouse
89,Burdigalian,Bur,20.45,18.215,15.98,4.47,Transitional
90,Langhian,Lan,15.98,14.9,13.82,2.16,Transitional
91,Serravallian,Ser,13.82,12.725,11.63,2.19,Transitional
92,Tortonian,Tor,11.63,9.438,7.246,4.384,Coolhouse
93,Messinian,Mes,7.246,6.2895,5.333,1.913,Coldhouse
94,Zanclean,Zan,5.333,4.4665,3.6,1.733,Coldhouse
95,Piacenzian,Pia,3.6,3.09,2.58,1.02,Coldhouse
96,Pleistocene,Ple,2.58,1.29585,0.0117,2.5683,Coldhouse
97,Holocene,Hol,0.0117,0.00585,0,0.0117,Coldhouse
