"bin_midpoint","stage","hemisphere","label","n_cells_total","n_cells_high_lat","prop_cells_high_lat","n_lat_bins_observed","n_high_lat_bins_observed","n_high_lat_bins_expected","prop_high_lat_bins_observed","has_high_lat_data"
0.00585,"Holocene","Northern","good",14,4,0.285714285714286,5,1,1,1,TRUE
0.00585,"Holocene","Southern","good",6,0,0,3,0,1,0,FALSE
1.29585,"Pleistocene","Northern","good",65,8,0.123076923076923,6,1,1,1,TRUE
1.29585,"Pleistocene","Southern","good",19,1,0.0526315789473684,6,1,1,1,TRUE
3.09,"Piacenzian","Northern","good",24,1,0.0416666666666667,5,1,1,1,TRUE
3.09,"Piacenzian","Southern","good",9,0,0,4,0,1,0,FALSE
4.4665,"Zanclean","Northern","good",42,2,0.0476190476190476,6,1,1,1,TRUE
4.4665,"Zanclean","Southern","good",9,1,0.111111111111111,6,1,1,1,TRUE
6.2895,"Messinian","Northern","good",12,0,0,3,0,1,0,FALSE
6.2895,"Messinian","Southern","bad",1,0,0,1,0,1,0,FALSE
9.438,"Tortonian","Northern","good",31,1,0.032258064516129,6,1,1,1,TRUE
9.438,"Tortonian","Southern","good",11,0,0,4,0,1,0,FALSE
12.725,"Serravallian","Northern","good",37,0,0,6,1,1,1,FALSE
12.725,"Serravallian","Southern","good",10,0,0,4,0,1,0,FALSE
14.9,"Langhian","Northern","good",17,0,0,4,0,1,0,FALSE
18.215,"Burdigalian","Northern","good",47,0,0,6,1,1,1,FALSE
18.215,"Burdigalian","Southern","good",19,1,0.0526315789473684,5,1,1,1,TRUE
21.745,"Aquitanian","Northern","good",8,0,0,4,0,1,0,FALSE
21.745,"Aquitanian","Southern","bad",2,0,0,1,0,1,0,FALSE
25.17,"Chattian","Northern","good",30,1,0.0333333333333333,6,1,1,1,TRUE
25.17,"Chattian","Southern","good",5,0,0,3,0,1,0,FALSE
30.6,"Rupelian","Northern","good",34,2,0.0588235294117647,6,1,1,1,TRUE
30.6,"Rupelian","Southern","bad",5,0,0,2,0,1,0,FALSE
35.805,"Priabonian","Northern","good",36,0,0,5,0,1,0,FALSE
35.805,"Priabonian","Southern","bad",12,1,0.0833333333333333,3,1,1,1,TRUE
39.37,"Bartonian","Northern","good",32,1,0.03125,5,1,1,1,TRUE
39.37,"Bartonian","Southern","bad",5,0,0,3,1,1,1,FALSE
44.55,"Lutetian","Northern","good",33,1,0.0303030303030303,6,1,1,1,TRUE
44.55,"Lutetian","Southern","good",6,0,0,3,0,1,0,FALSE
52.035,"Ypresian","Northern","good",26,0,0,4,0,1,0,FALSE
52.035,"Ypresian","Southern","good",7,2,0.285714285714286,4,1,1,1,TRUE
57.62,"Thanetian","Northern","bad",14,1,0.0714285714285714,3,1,1,1,TRUE
57.62,"Thanetian","Southern","bad",3,1,0.333333333333333,2,1,1,1,TRUE
60.45,"Selandian","Northern","bad",4,1,0.25,3,1,1,1,TRUE
63.83,"Danian","Northern","bad",11,0,0,2,0,1,0,FALSE
63.83,"Danian","Southern","good",8,1,0.125,4,1,1,1,TRUE
69.1,"Maastrichtian","Northern","good",45,0,0,5,0,1,0,FALSE
69.1,"Maastrichtian","Southern","bad",8,1,0.125,3,1,1,1,TRUE
77.9,"Campanian","Northern","good",67,4,0.0597014925373134,6,1,1,1,TRUE
77.9,"Campanian","Southern","good",10,1,0.1,5,1,1,1,TRUE
84.65,"Santonian","Northern","good",24,0,0,4,0,1,0,FALSE
84.65,"Santonian","Southern","bad",3,1,0.333333333333333,2,1,1,1,TRUE
87.75,"Coniacian","Northern","good",23,0,0,4,0,1,0,FALSE
87.75,"Coniacian","Southern","bad",4,2,0.5,3,1,1,1,TRUE
91.85,"Turonian","Northern","good",49,2,0.0408163265306122,6,1,1,1,TRUE
91.85,"Turonian","Southern","bad",9,2,0.222222222222222,3,1,1,1,TRUE
97.2,"Cenomanian","Northern","good",50,1,0.02,6,1,1,1,TRUE
97.2,"Cenomanian","Southern","good",6,1,0.166666666666667,4,1,1,1,TRUE
106.85,"Albian","Northern","good",36,2,0.0555555555555556,6,1,1,1,TRUE
106.85,"Albian","Southern","good",19,6,0.315789473684211,6,1,1,1,TRUE
117.3,"Aptian","Northern","good",24,2,0.0833333333333333,6,1,1,1,TRUE
117.3,"Aptian","Southern","good",8,2,0.25,5,1,1,1,TRUE
123.585,"Barremian","Northern","good",10,1,0.1,4,1,1,1,TRUE
123.585,"Barremian","Southern","good",3,0,0,3,0,1,0,FALSE
129.185,"Hauterivian","Northern","bad",15,0,0,3,1,1,1,FALSE
129.185,"Hauterivian","Southern","bad",4,0,0,2,0,1,0,FALSE
134.825,"Valanginian","Northern","bad",19,5,0.263157894736842,3,1,1,1,TRUE
134.825,"Valanginian","Southern","good",7,0,0,3,0,1,0,FALSE
140.075,"Berriasian","Northern","good",23,8,0.347826086956522,4,1,1,1,TRUE
146.15,"Tithonian","Northern","good",21,8,0.380952380952381,4,1,1,1,TRUE
146.15,"Tithonian","Southern","bad",5,3,0.6,3,1,1,1,TRUE
152,"Kimmeridgian","Northern","bad",10,2,0.2,3,1,1,1,TRUE
152,"Kimmeridgian","Southern","good",8,2,0.25,4,1,1,1,TRUE
158.15,"Oxfordian","Northern","good",25,2,0.08,5,1,1,1,TRUE
158.15,"Oxfordian","Southern","good",15,1,0.0666666666666667,4,1,1,1,TRUE
163.4,"Callovian","Northern","good",24,0,0,5,0,1,0,FALSE
163.4,"Callovian","Southern","good",15,2,0.133333333333333,4,1,1,1,TRUE
166.75,"Bathonian","Northern","good",26,0,0,5,0,1,0,FALSE
166.75,"Bathonian","Southern","good",12,3,0.25,4,1,1,1,TRUE
169.55,"Bajocian","Northern","good",29,1,0.0344827586206897,6,1,1,1,TRUE
169.55,"Bajocian","Southern","good",10,3,0.3,4,1,1,1,TRUE
172.8,"Aalenian","Northern","good",20,3,0.15,5,1,1,1,TRUE
172.8,"Aalenian","Southern","bad",2,0,0,2,0,1,0,FALSE
179.45,"Toarcian","Northern","good",38,4,0.105263157894737,6,1,1,1,TRUE
179.45,"Toarcian","Southern","good",12,3,0.25,6,1,1,1,TRUE
188.55,"Pliensbachian","Northern","good",39,1,0.0256410256410256,6,1,1,1,TRUE
188.55,"Pliensbachian","Southern","bad",7,2,0.285714285714286,3,1,1,1,TRUE
196.2,"Sinemurian","Northern","good",29,1,0.0344827586206897,6,1,1,1,TRUE
196.2,"Sinemurian","Southern","good",11,4,0.363636363636364,4,1,1,1,TRUE
200.45,"Hettangian","Northern","good",16,1,0.0625,5,1,1,1,TRUE
200.45,"Hettangian","Southern","good",6,2,0.333333333333333,4,1,1,1,TRUE
203.55,"Rhaetian","Northern","good",19,4,0.210526315789474,5,1,1,1,TRUE
203.55,"Rhaetian","Southern","good",8,3,0.375,5,1,1,1,TRUE
216.5,"Norian","Northern","good",31,6,0.193548387096774,6,1,1,1,TRUE
216.5,"Norian","Southern","good",15,5,0.333333333333333,6,1,1,1,TRUE
232.15,"Carnian","Northern","good",22,6,0.272727272727273,6,1,1,1,TRUE
232.15,"Carnian","Southern","bad",4,1,0.25,3,1,1,1,TRUE
239.232,"Ladinian","Northern","good",22,5,0.227272727272727,6,1,1,1,TRUE
239.232,"Ladinian","Southern","bad",6,5,0.833333333333333,2,1,1,1,TRUE
244.082,"Anisian","Northern","good",23,3,0.130434782608696,6,1,1,1,TRUE
244.082,"Anisian","Southern","good",7,3,0.428571428571429,4,1,1,1,TRUE
248.3,"Olenekian","Northern","good",24,3,0.125,6,1,1,1,TRUE
248.3,"Olenekian","Southern","good",4,0,0,3,0,1,0,FALSE
250.901,"Induan","Northern","good",38,4,0.105263157894737,5,1,1,1,TRUE
250.901,"Induan","Southern","good",9,0,0,5,0,1,0,FALSE
253.021,"Changhsingian","Northern","good",23,2,0.0869565217391304,5,1,1,1,TRUE
253.021,"Changhsingian","Southern","good",10,2,0.2,5,1,1,1,TRUE
256.825,"Wuchiapingian","Northern","good",42,2,0.0476190476190476,6,1,1,1,TRUE
256.825,"Wuchiapingian","Southern","good",32,9,0.28125,6,1,1,1,TRUE
261.895,"Capitanian","Northern","good",26,6,0.230769230769231,6,1,1,1,TRUE
261.895,"Capitanian","Southern","good",14,1,0.0714285714285714,6,1,1,1,TRUE
265.59,"Wordian","Northern","good",20,4,0.2,6,1,1,1,TRUE
265.59,"Wordian","Southern","good",27,10,0.37037037037037,6,1,1,1,TRUE
270.65,"Roadian","Northern","good",38,6,0.157894736842105,6,1,1,1,TRUE
270.65,"Roadian","Southern","good",21,5,0.238095238095238,5,1,1,1,TRUE
278.85,"Kungurian","Northern","good",37,5,0.135135135135135,6,1,1,1,TRUE
278.85,"Kungurian","Southern","good",23,5,0.217391304347826,6,1,1,1,TRUE
286.7,"Artinskian","Northern","good",21,0,0,4,0,1,0,FALSE
286.7,"Artinskian","Southern","good",23,5,0.217391304347826,5,1,1,1,TRUE
291.81,"Sakmarian","Northern","good",24,5,0.208333333333333,6,1,1,1,TRUE
291.81,"Sakmarian","Southern","good",29,6,0.206896551724138,4,1,1,1,TRUE
296.21,"Asselian","Northern","good",15,3,0.2,4,1,1,1,TRUE
296.21,"Asselian","Southern","good",17,0,0,6,1,1,1,FALSE
301.3,"Gzhelian","Northern","good",6,1,0.166666666666667,4,1,1,1,TRUE
301.3,"Gzhelian","Southern","good",9,0,0,3,0,1,0,FALSE
305.35,"Kasimovian","Northern","bad",2,0,0,2,0,1,0,FALSE
305.35,"Kasimovian","Southern","bad",10,0,0,1,0,1,0,FALSE
311.1,"Moscovian","Northern","good",5,0,0,3,0,1,0,FALSE
311.1,"Moscovian","Southern","good",18,0,0,4,0,1,0,FALSE
319.3,"Bashkirian","Northern","good",10,0,0,4,1,1,1,FALSE
319.3,"Bashkirian","Southern","good",13,1,0.0769230769230769,5,1,1,1,TRUE
326.85,"Serpukhovian","Northern","bad",10,0,0,2,0,1,0,FALSE
326.85,"Serpukhovian","Southern","good",14,0,0,3,0,1,0,FALSE
338.5,"Visean","Northern","good",4,0,0,3,0,1,0,FALSE
338.5,"Visean","Southern","good",23,0,0,5,0,1,0,FALSE
352.78,"Tournaisian","Northern","bad",2,0,0,1,0,1,0,FALSE
352.78,"Tournaisian","Southern","good",35,0,0,5,0,1,0,FALSE
365.505,"Famennian","Northern","bad",4,0,0,2,0,1,0,FALSE
365.505,"Famennian","Southern","good",32,0,0,4,0,1,0,FALSE
377.23,"Frasnian","Northern","bad",2,0,0,2,0,1,0,FALSE
377.23,"Frasnian","Southern","good",39,0,0,5,0,1,0,FALSE
385.13,"Givetian","Northern","bad",3,0,0,2,0,1,0,FALSE
385.13,"Givetian","Southern","good",47,3,0.0638297872340425,6,1,1,1,TRUE
390.71,"Eifelian","Northern","bad",3,0,0,1,0,1,0,FALSE
390.71,"Eifelian","Southern","good",36,3,0.0833333333333333,6,1,1,1,TRUE
402.045,"Emsian","Northern","good",11,0,0,4,0,1,0,FALSE
402.045,"Emsian","Southern","good",48,9,0.1875,6,1,1,1,TRUE
411.82,"Pragian","Northern","bad",5,0,0,1,0,1,0,FALSE
411.82,"Pragian","Southern","good",15,2,0.133333333333333,6,1,1,1,TRUE
416.32,"Lochkovian","Northern","bad",11,0,0,2,0,1,0,FALSE
416.32,"Lochkovian","Southern","good",27,2,0.0740740740740741,6,1,1,1,TRUE
421.16,"Pridoli","Northern","bad",3,0,0,1,0,1,0,FALSE
421.16,"Pridoli","Southern","good",20,2,0.1,6,1,1,1,TRUE
423.85,"Ludfordian","Northern","bad",1,0,0,1,0,1,0,FALSE
423.85,"Ludfordian","Southern","good",9,0,0,4,0,1,0,FALSE
425.85,"Gorstian","Northern","bad",1,0,0,1,0,1,0,FALSE
425.85,"Gorstian","Southern","good",5,0,0,4,0,1,0,FALSE
428.65,"Homerian","Northern","good",8,0,0,4,0,1,0,FALSE
428.65,"Homerian","Southern","good",22,0,0,4,0,1,0,FALSE
431.75,"Sheinwoodian","Northern","bad",1,0,0,1,0,1,0,FALSE
431.75,"Sheinwoodian","Southern","good",8,0,0,4,1,1,1,FALSE
435.75,"Telychian","Northern","good",11,0,0,4,0,1,0,FALSE
435.75,"Telychian","Southern","good",25,0,0,5,0,1,0,FALSE
439.55,"Aeronian","Northern","bad",3,0,0,1,0,1,0,FALSE
439.55,"Aeronian","Southern","good",12,0,0,5,1,1,1,FALSE
441.8,"Rhuddanian","Northern","good",6,0,0,3,0,1,0,FALSE
441.8,"Rhuddanian","Southern","good",20,0,0,4,0,1,0,FALSE
444.15,"Hirnantian","Northern","bad",8,0,0,2,0,1,0,FALSE
444.15,"Hirnantian","Southern","good",23,1,0.0434782608695652,4,1,1,1,TRUE
449,"Katian","Northern","good",24,0,0,3,0,1,0,FALSE
449,"Katian","Southern","good",68,7,0.102941176470588,6,1,1,1,TRUE
455.5,"Sandbian","Northern","bad",16,0,0,2,0,1,0,FALSE
455.5,"Sandbian","Southern","good",53,4,0.0754716981132075,6,1,1,1,TRUE
463.8,"Darriwilian","Northern","good",22,0,0,3,0,1,0,FALSE
463.8,"Darriwilian","Southern","good",59,12,0.203389830508475,5,1,1,1,TRUE
470.35,"Dapingian","Northern","good",3,0,0,3,0,1,0,FALSE
470.35,"Dapingian","Southern","bad",8,0,0,2,0,1,0,FALSE
474.2,"Floian","Northern","good",19,0,0,4,0,1,0,FALSE
474.2,"Floian","Southern","good",39,6,0.153846153846154,6,1,1,1,TRUE
481.975,"Tremadocian","Northern","good",16,0,0,3,0,1,0,FALSE
481.975,"Tremadocian","Southern","good",45,5,0.111111111111111,6,1,1,1,TRUE
