"bin_midpoint","stage","era","slope_Northern","slope_Southern","k_median_Northern","k_median_Southern","k_cv_Northern","k_cv_Southern","sampling_profile_dissim","slope_diff_abs","slope_diff_signed","k_cv_diff","k_cv_diff_signed","k_median_asym","k_median_diff_signed"
0.00585,"Holocene","Cenozoic",-1.08488532022784,0.135262909348776,2,2,0.586845597326964,0,1.5,1.22014822957662,-1.22014822957662,0.586845597326964,0.586845597326964,0,0
1.29585,"Pleistocene","Cenozoic",-0.392150239707975,-0.184253364990259,8,2,0.718380822347841,0.880065472255936,0.473684210526316,0.207896874717716,-0.207896874717716,0.161684649908095,-0.161684649908095,1.09861228866811,6
3.09,"Piacenzian","Cenozoic",-0.964115029249142,-0.573412698496029,3,2,1.00346621489936,0.559246995205241,1,0.390702330753113,-0.390702330753113,0.444219219694119,0.444219219694119,0.287682072451781,1
4.4665,"Zanclean","Cenozoic",-0.442105688732218,-0.251007890756711,6.5,1,0.682133507789333,0.557773351022717,1,0.191097797975507,-0.191097797975507,0.124360156766616,0.124360156766616,1.32175583998232,5.5
9.438,"Tortonian","Cenozoic",-0.679596066479282,-0.71642432107872,4,3,0.806580634840361,0.181818181818182,1.22727272727273,0.0368282545994381,0.0368282545994381,0.624762453022179,0.624762453022179,0.22314355131421,1
12.725,"Serravallian","Cenozoic",-0.0889953168963348,-0.366908662104863,4,2,0.756563681933674,0.765941686205071,1.35,0.277913345208528,0.277913345208528,0.00937800427139701,-0.00937800427139701,0.510825623765991,2
18.215,"Burdigalian","Cenozoic",-0.143623520903502,-0.123476510694238,6,1,0.792792338616111,1.15310012106351,1.18421052631579,0.020147010209264,-0.020147010209264,0.360307782447399,-0.360307782447399,1.25276296849537,5
25.17,"Chattian","Cenozoic",-0.0828581302212886,0.884250519303071,3.5,1,0.839047078536121,0.692820323027551,0.9,0.96710864952436,-0.96710864952436,0.14622675550857,0.14622675550857,0.810930216216329,2.5
44.55,"Lutetian","Cenozoic",0.0669706198189353,-0.444820871409925,3,2,1.14848085071664,0,1.5,0.51179149122886,0.51179149122886,1.14848085071664,1.14848085071664,0.287682072451781,1
52.035,"Ypresian","Cenozoic",0.492719054651944,0.403149637330781,4.5,1.5,0.944202699462665,0.547101204432193,1.92857142857143,0.089569417321163,0.089569417321163,0.397101495030472,0.397101495030472,0.78845736036427,3
77.9,"Campanian","Mesozoic",-0.0385414083964534,0.153892722114728,8.5,1,0.775372775199951,0.707106781186548,1.35,0.192434130511181,-0.192434130511181,0.0682659940134029,0.0682659940134029,1.55814461804655,7.5
97.2,"Cenomanian","Mesozoic",-0.414138322643402,-0.34616087610593,6.5,1,0.812699206348819,0.666666666666667,0.75,0.067977446537472,-0.067977446537472,0.146032539682152,0.146032539682152,1.32175583998232,5.5
106.85,"Albian","Mesozoic",-0.454879344540929,0.08816731017355,5,2.5,0.691214711777591,0.731560014900802,0.473684210526316,0.543046654714479,-0.543046654714479,0.040345303123211,-0.040345303123211,0.538996500732687,2.5
117.3,"Aptian","Mesozoic",-0.192292089952889,0.0603936065034233,2.5,1,1.04880884817015,0.559016994374947,0.5625,0.252685696456312,-0.252685696456312,0.489791853795203,0.489791853795203,0.559615787935423,1.5
123.585,"Barremian","Mesozoic",-0.470207882778659,-1.0699368221927,2,1,0.692820323027551,0,0,0.599728939414041,0.599728939414041,0.692820323027551,0.692820323027551,0.405465108108164,1
158.15,"Oxfordian","Mesozoic",-0.345292816433499,-0.444644400891505,2,4.5,0.894427190999916,0.504791852960024,1.2,0.099351584458006,0.099351584458006,0.389635338039892,0.389635338039892,0.606135803570316,-2.5
163.4,"Callovian","Mesozoic",-1.12921548120311,-0.082541336745828,3,3.5,0.936341877260176,0.455420034042649,0.9,1.04667414445728,-1.04667414445728,0.480921843217527,0.480921843217527,0.117783035656384,-0.5
166.75,"Bathonian","Mesozoic",-0.435937936784485,-0.507638927380946,6,3,0.614181516256589,0.272165526975909,1.125,0.071700990596461,0.071700990596461,0.34201598928068,0.34201598928068,0.559615787935423,3
169.55,"Bajocian","Mesozoic",-0.563628879193448,-0.450885572212344,3,2.5,1.10581642433461,0.516397779494322,0.9,0.112743306981104,-0.112743306981104,0.589418644840288,0.589418644840288,0.133531392624523,0.5
179.45,"Toarcian","Mesozoic",-0.0737369934467504,-0.353029446394217,4,1.5,1.10601478202642,0.632455532033676,0.375,0.279292452947467,0.279292452947467,0.473559249992744,0.473559249992744,0.693147180559945,2.5
196.2,"Sinemurian","Mesozoic",-0.257088014509088,-0.141940639227687,3,2.5,1.12880351880502,0.74965556829412,0.409090909090909,0.115147375281401,-0.115147375281401,0.3791479505109,0.3791479505109,0.133531392624523,0.5
200.45,"Hettangian","Mesozoic",0.16216484315201,0.0366384214802902,1,1,1.21834929310112,0.666666666666667,0.75,0.12552642167172,0.12552642167172,0.551682626434453,0.551682626434453,0,0
203.55,"Rhaetian","Mesozoic",0.154011414407398,-0.942420661560719,1,1,1.25380307890227,0.559016994374947,0.5625,1.09643207596812,1.09643207596812,0.694786084527323,0.694786084527323,0,0
216.5,"Norian","Mesozoic",-0.00504662417293487,-0.481988051483252,4,2.5,0.431342313559917,0.606630035524124,0.6,0.476941427310317,0.476941427310317,0.175287721964207,-0.175287721964207,0.356674943938732,1.5
244.082,"Anisian","Mesozoic",-0.28568553077194,-0.598173321586558,2.5,1.5,0.863894553531812,0.547101204432193,0,0.312487790814618,0.312487790814618,0.316793349099619,0.316793349099619,0.336472236621213,1
248.3,"Olenekian","Mesozoic",-0.134418156416566,0.139833806109722,3,1,0.689202437604511,0.433012701892219,1.125,0.274251962526288,-0.274251962526288,0.256189735712292,0.256189735712292,0.693147180559945,2
250.901,"Induan","Mesozoic",-0.0771760407306079,0.499844985878431,5,2,0.736136880563125,0.464811125852264,1,0.577021026609039,-0.577021026609039,0.271325754710861,0.271325754710861,0.693147180559945,3
253.021,"Changhsingian","Paleozoic",-0.612408822164588,0.53378804752888,3,2,0.822072626138654,0.612372435695794,0.9,1.14619686969347,-1.14619686969347,0.20970019044286,0.20970019044286,0.287682072451781,1
256.825,"Wuchiapingian","Paleozoic",-0.702600745164953,-0.151541082447987,4.5,4,1.00203873810001,0.868727517694703,0.703125,0.551059662716966,-0.551059662716966,0.133311220405307,0.133311220405307,0.0953101798043249,0.5
261.895,"Capitanian","Paleozoic",-0.271888806460168,-0.0590925696829231,3.5,2,0.739422451735256,0.44262666813799,1.28571428571429,0.212796236777245,-0.212796236777245,0.296795783597266,0.296795783597266,0.405465108108164,1.5
265.59,"Wordian","Paleozoic",-0.617596284560109,-0.165170674002474,2.5,3.5,0.525357021462548,0.699205898780101,1,0.452425610557635,-0.452425610557635,0.173848877317553,-0.173848877317553,0.251314428280906,-1
270.65,"Roadian","Paleozoic",-0.665395743422142,-0.331617932386905,6,5,0.326145965996414,0.542940678618637,1.07142857142857,0.333777811035237,-0.333777811035237,0.216794712622223,-0.216794712622223,0.154150679827258,1
278.85,"Kungurian","Paleozoic",-0.431236796335897,-0.00582310997454988,7,3,0.485584749869745,0.831788107378652,1.17391304347826,0.425413686361347,-0.425413686361347,0.346203357508907,-0.346203357508907,0.693147180559945,4
286.7,"Artinskian","Paleozoic",-1.53710674105879,-0.183126579117642,3,3,1.00037785756119,0.955038375499513,0.978260869565217,1.35398016194115,-1.35398016194115,0.0453394820616769,0.0453394820616769,0,0
291.81,"Sakmarian","Paleozoic",0.0608463407318329,-0.402645279643562,3,7,0.724568837309472,0.362752502024356,0.775862068965517,0.463491620375395,0.463491620375395,0.361816335285116,0.361816335285116,0.693147180559945,-4
296.21,"Asselian","Paleozoic",-0.0655250068924464,-0.852720624119512,3.5,2.5,0.666666666666667,0.647593362095195,1.32352941176471,0.787195617227066,0.787195617227066,0.0190733045714719,0.0190733045714719,0.251314428280906,1
301.3,"Gzhelian","Paleozoic",-0.678208286796762,-1.80410376790862,1.5,1,0.38490017945975,1.15470053837925,3.5,1.12589548111186,1.12589548111186,0.7698003589195,-0.7698003589195,0.22314355131421,0.5
311.1,"Moscovian","Paleozoic",-0.0861153355319766,-0.23696653121755,2,2,0.346410161513775,1.11111111111111,3,0.150851195685573,0.150851195685573,0.764700949597335,-0.764700949597335,0,0
319.3,"Bashkirian","Paleozoic",-0.311412932382994,-0.582338138298898,1,1,1.2,0.842650088469486,1.73076923076923,0.270925205915904,0.270925205915904,0.357349911530514,0.357349911530514,0,0
338.5,"Visean","Paleozoic",0.0309721858670534,-0.242126917938459,1,2,0.433012701892219,1.00330267471429,2.15217391304348,0.273099103805512,0.273099103805512,0.570289972822071,-0.570289972822071,0.405465108108164,-1
402.045,"Emsian","Paleozoic",-0.198352645448855,-0.289132874571678,1.5,6,1.04446593573419,0.553398590529466,0.5625,0.090780229122823,0.090780229122823,0.491067345204724,0.491067345204724,1.02961941718116,-4.5
428.65,"Homerian","Paleozoic",-0.957914549295996,1.45024740737997,1,4,1,0.859239204773201,0,2.40816195667597,-2.40816195667597,0.140760795226799,0.140760795226799,0.916290731874155,-3
435.75,"Telychian","Paleozoic",-0.592004630507118,-0.200735571652662,2.5,3,0.74965556829412,1.14017542509914,0.36,0.391269058854456,-0.391269058854456,0.39051985680502,-0.39051985680502,0.133531392624523,-0.5
441.8,"Rhuddanian","Paleozoic",-1.17887903307532,0.989226054705469,1,3.5,0.866025403784439,0.993310961716756,0.45,2.16810508778079,-2.16810508778079,0.127285557932317,-0.127285557932317,0.810930216216329,-2.5
449,"Katian","Paleozoic",-0.930513918369098,0.31382634634965,9,9,0.695970545353753,0.716102484401562,0.463235294117647,1.24434026471875,-1.24434026471875,0.020131939047809,-0.020131939047809,0,0
463.8,"Darriwilian","Paleozoic",-0.703440887331986,0.193770081101983,10,10,0.751032347357196,0.530592401440628,0.76271186440678,0.897210968433969,-0.897210968433969,0.220439945916568,0.220439945916568,0,0
474.2,"Floian","Paleozoic",-1.11331052640125,0.465411758209406,4,5.5,0.81309685798291,0.679366220486758,0.692307692307692,1.57872228461066,-1.57872228461066,0.133730637496152,0.133730637496152,0.262364264467491,-1.5
481.975,"Tremadocian","Paleozoic",-0.180008300940864,0.306943261691988,4,7,0.433012701892219,0.276485884711036,1,0.486951562632852,-0.486951562632852,0.156526817181183,0.156526817181183,0.470003629245736,-3
